	target name	taccession	query name	qaccession	fE-value	fscore	fbias	dE-value	dscore	dbias	exp	reg	clu	ov	env	dom	rep	inc	description of target	qlen	plasmid ID
3048	APH3	RF0033	ref|YP_194807.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type 1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_006815
3050	APH3	RF0033	ref|YP_194837.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type I (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_006816
3052	APH6	RF0034	ref|YP_194839.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein B (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	278.0	NC_006816
3053	APH3''	RF0172	ref|YP_194840.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein A (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	267.0	NC_006816
3055	TEM	RF0126	ref|YP_194844.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase TEM1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_006816
3057	AAC3	RF0002	ref|YP_194873.1|	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside-(3)-N-acetyltransferase type II (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_006816
3058	TEM	RF0126	ref|YP_194879.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase TEM1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_006816
3060	TetA	RF0127	ref|YP_194897.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein A (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	399.0	NC_006816
3063	Qnr	RF0113	ref|YP_001468286.1|	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	quinolone resistance gene (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	218.0	NC_009807
3064	TEM	RF0126	ref|YP_001966385.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaTEM beta-lactamase (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_010896
3066	APH3''	RF0172	ref|YP_003104759.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase A, StrA (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	267.0	NC_013104
3068	APH6	RF0034	ref|YP_003104760.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase B, StrB (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	278.0	NC_013104
3069	APH3''	RF0172	ref|YP_003264401.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	267.0	NC_013437
3071	APH6	RF0034	ref|YP_003264402.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein B (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	278.0	NC_013437
3072	ANT3	RF0027	ref|YP_003264405.1|	-	8.299999999999998e-169	552.5	1.1	9.299999999999997e-169	552.3	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	263.0	NC_013437
3074	Chlor_Acetyltrans_CAT	RF0050	ref|YP_003264413.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	219.0	NC_013437
3075	TEM	RF0126	ref|YP_003264416.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase tem precursor (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_013437
3077	APH3	RF0033	ref|YP_003864148.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type 1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_014476
3079	TetA	RF0127	ref|YP_003864157.1|	-	2.0999999999999995e-214	704.6	23.6	2.399999999999999e-214	704.4	23.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein class A (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	424.0	NC_014476
3082	ANT3	RF0027	ref|YP_003864165.1|	-	9.999999999999997e-169	552.2	1.1	1.1999999999999997e-168	551.9	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	336.0	NC_014476
3084	TEM	RF0126	ref|YP_003864176.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase tem precursor (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_014476
3086	APH3	RF0033	ref|YP_004508736.1|	-	2.899999999999999e-146	478.7	0.0	3.199999999999999e-146	478.5	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type I (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_015570
3088	TetA-B	RF0128	ref|YP_004823716.1|	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	401.0	NC_015965
3091	APH3	RF0033	ref|YP_006955527.1|	-	3.999999999999999e-129	422.5	0.0	4.499999999999999e-129	422.3	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type 1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	229.0	NC_019001
3093	TetA	RF0127	ref|YP_006955535.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein class A (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	399.0	NC_019001
3096	ANT3	RF0027	ref|YP_006955545.1|	-	5.799999999999998e-169	553.0	1.1	6.599999999999998e-169	552.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	284.0	NC_019001
3098	TEM	RF0126	ref|YP_006955556.1|	-	6.099999999999998e-185	606.0	0.1	6.799999999999998e-185	605.9	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TEM-1 beta lactamase gene (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	258.0	NC_019001
3100	TEM	RF0126	ref|YP_006955288.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Bla (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_019108
3102	ANT3	RF0027	ref|YP_006955300.1|	-	8.099999999999997e-169	552.5	1.1	9.399999999999996e-169	552.3	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AadA (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	313.0	NC_019108
3104	TetA	RF0127	ref|YP_006955310.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	399.0	NC_019108
3107	APH3	RF0033	ref|YP_006955318.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aph (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_019108
3109	TEM	RF0126	ref|YP_006955451.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Bla (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	286.0	NC_019109
3111	ANT3	RF0027	ref|YP_006955463.1|	-	8.099999999999997e-169	552.5	1.1	9.399999999999996e-169	552.3	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AadA (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	313.0	NC_019109
3113	TetA	RF0127	ref|YP_006955473.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	399.0	NC_019109
3116	APH3	RF0033	ref|YP_006955481.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aph (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	271.0	NC_019109
3118	Qnr	RF0113	ref|YP_006955902.1|	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	QnrS1 (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	218.0	NC_019113
3119	APH3'	RF0173	ref|YP_001551781.1|	-	7.099999999999997e-84	274.4	0.0	8.4e-84	274.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	264.0	NC_009980
3121	APH6	RF0034	ref|YP_001551783.1|	-	3.099999999999999e-115	377.3	3.2	3.4999999999999993e-115	377.2	3.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin 3''-kinase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	266.0	NC_009980
3122	TEM	RF0126	ref|YP_001551788.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase TEM precursor (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	286.0	NC_009980
3124	APH3''	RF0172	ref|YP_001551789.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	267.0	NC_009980
3126	APH6	RF0034	ref|YP_001551790.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	278.0	NC_009980
3127	TetA	RF0127	ref|YP_001551809.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	399.0	NC_009980
3130	AAC6-I	RF0004	ref|YP_001552089.1|	-	1.9999999999999997e-73	238.6	5.1	2.2999999999999996e-73	238.5	5.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside N(6')-acetyltransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	183.0	NC_009982
3131	ANT3	RF0027	ref|YP_001552090.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	263.0	NC_009982
3133	Chlor_Efflux_Pump	RF0051	ref|YP_001552094.1|	-	6.0999999999999985e-170	558.5	48.6	6.799999999999999e-170	558.3	48.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	florfenicol exporter (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	404.0	NC_009982
3134	TetA	RF0127	ref|YP_001911158.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	399.0	NC_010716
3137	APH3''	RF0172	ref|YP_001911195.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	StrA (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	267.0	NC_010716
3139	APH6	RF0034	ref|YP_001911196.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	StrB (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	278.0	NC_010716
3140	APH3	RF0033	ref|YP_006954811.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	271.0	NC_019105
3142	TetA	RF0127	ref|YP_006954820.1|	-	2.0999999999999995e-214	704.6	23.6	2.399999999999999e-214	704.4	23.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline efflux protein TetA (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	424.0	NC_019105
3145	TEM	RF0126	ref|YP_006954843.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	286.0	NC_019105
3147	Chlor_Efflux_Pump	RF0051	ref|YP_006955038.1|	-	2.9999999999999993e-169	556.2	48.7	3.399999999999999e-169	556.0	48.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	permease (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	404.0	NC_019107
3148	TetA	RF0127	ref|YP_006955040.1|	-	3.099999999999999e-214	704.0	22.7	3.499999999999999e-214	703.9	22.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline efflux protein TetA (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	424.0	NC_019107
3151	APH6	RF0034	ref|YP_006955043.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	278.0	NC_019107
3152	APH3''	RF0172	ref|YP_006955044.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	267.0	NC_019107
3154	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|YP_006955085.1|	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	409.0	NC_019107
3156	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|YP_006955087.1|	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	409.0	NC_019107
3158	ANT3	RF0027	ref|YP_006955145.1|	-	3.399999999999998e-167	547.2	0.9	3.9999999999999985e-167	547.0	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin 3''-O-adenylyltransferase (plasmid) [Salmonella enterica subsp. enterica serovar Dublin]	301.0	NC_019107
3160	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|YP_001649321.1|	-	5.1999999999999975e-238	782.0	1.9	5.799999999999996e-238	781.8	1.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Salmonella enterica subsp. enterica serovar Newport]	381.0	NC_010259
3162	APH3	RF0033	ref|YP_003543176.1|	-	1.7999999999999997e-146	479.3	0.0	1.9999999999999996e-146	479.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type I (plasmid) [Salmonella enterica subsp. enterica serovar Newport]	271.0	NC_014003
3164	TetA-B	RF0128	ref|YP_001551912.1|	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	401.0	NC_009981
3167	APH3	RF0033	ref|YP_001551915.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aph(3')-I, aminoglycoside 3'-phosphotransferase type I (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	271.0	NC_009981
3169	APH3''	RF0172	ref|YP_001551919.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	267.0	NC_009981
3171	APH6	RF0034	ref|YP_001551920.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	278.0	NC_009981
3172	ANT3	RF0027	ref|YP_001551924.2|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	263.0	NC_009981
3174	TEM	RF0126	ref|YP_001551943.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase TEM precursor (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	286.0	NC_009981
3176	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001551946.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	219.0	NC_009981
3177	TetA	RF0127	ref|YP_001598107.1|	-	2.0999999999999995e-214	704.6	23.6	2.399999999999999e-214	704.4	23.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	424.0	NC_010119
3180	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001598113.1|	-	7.799999999999998e-89	289.9	0.3	8.699999999999997e-89	289.8	0.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	CatII (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	213.0	NC_010119
3181	TEM	RF0126	ref|YP_001598120.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Bla (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	286.0	NC_010119
3183	APH3	RF0033	ref|YP_001598126.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AphAI (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	271.0	NC_010119
3185	ANT3	RF0027	ref|YP_001598137.1|	-	4.3999999999999984e-169	553.4	1.1	4.899999999999998e-169	553.2	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	263.0	NC_010119
3187	Chlor_Efflux_Pump	RF0051	ref|YP_001598138.1|	-	2.4999999999999998e-123	404.9	26.2	2.8999999999999994e-123	404.7	26.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	CmlA1 (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	299.0	NC_010119
3188	ANT3	RF0027	ref|YP_001598139.2|	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	263.0	NC_010119
3190	APH3''	RF0172	ref|YP_001598151.1|	-	4.9999999999999994e-92	300.9	0.0	5.699999999999999e-92	300.7	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	StrA (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	231.0	NC_010119
3192	ANT3	RF0027	ref|YP_001746868.1|	-	8.299999999999998e-169	552.5	1.1	9.299999999999997e-169	552.3	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar Brandenburg]	263.0	NC_010500
3194	TetA-B	RF0128	ref|YP_001746874.1|	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA(B) (plasmid) [Salmonella enterica subsp. enterica serovar Brandenburg]	401.0	NC_010500
3197	APH6	RF0034	ref|YP_006970877.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein StrB (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	278.0	NC_018954
3198	APH3''	RF0172	ref|YP_006970878.1|	-	1.5999999999999996e-164	538.6	0.1	1.899999999999999e-164	538.4	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein StrA (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	329.0	NC_018954
3200	TetA-B	RF0128	ref|YP_006970885.1|	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	transposon Tn10 TetB protein (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	401.0	NC_018954
3203	macB	RF0089	ref|YP_006970967.1|	-	5.099999999999998e-188	618.8	9.0	5.999999999999998e-188	618.6	9.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	putative transport system ATP-binding protein EtsB (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	611.0	NC_018954
3204	msbA	RF0107	ref|YP_006970982.1|	-	5.399999999999998e-212	697.8	2.6	2.5999999999999994e-109	358.8	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	salmochelin siderophore system ATP-binding cassette protein IroC (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	1261.0	NC_018954
3206	APH6	RF0034	ref|YP_006971005.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein StrB (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	278.0	NC_018966
3207	APH3''	RF0172	ref|YP_006971006.1|	-	1.5999999999999996e-164	538.6	0.1	1.899999999999999e-164	538.4	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein StrA (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	329.0	NC_018966
3209	TetA-B	RF0128	ref|YP_006971013.1|	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	transposon Tn10 TetB protein (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	401.0	NC_018966
3212	macB	RF0089	ref|YP_006971094.1|	-	5.099999999999998e-188	618.8	9.0	5.999999999999998e-188	618.6	9.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	putative transport system ATP-binding protein EtsB (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	611.0	NC_018966
3213	msbA	RF0107	ref|YP_006971109.1|	-	5.399999999999998e-212	697.8	2.6	2.5999999999999994e-109	358.8	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	salmochelin siderophore system ATP-binding cassette protein IroC (plasmid) [Salmonella enterica subsp. enterica serovar Kentucky]	1261.0	NC_018966
3215	CTXM	RF0059	ref|YP_002332251.1|	-	3.399999999999999e-191	626.7	3.9	3.7999999999999986e-191	626.5	3.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	extended-spectrum beta-lactamase CTX-M-53 (plasmid) [Salmonella enterica subsp. enterica serovar Westhampton]	291.0	NC_011604
3217	Qnr	RF0113	ref|YP_006954662.1|	-	3.9999999999999993e-113	369.3	5.7	4.6999999999999985e-113	369.1	5.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	quinolone resistance protein (plasmid) [Salmonella enterica subsp. enterica serovar 6,7:d:-]	226.0	NC_019103
3218	APH3	RF0033	ref|YP_004521253.1|	-	2.899999999999999e-146	478.7	0.0	3.199999999999999e-146	478.5	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase type I (plasmid) [Salmonella enterica subsp. enterica serovar Bardo]	271.0	NC_015575
