	locus	Genus	Species	environment	character	IS26	length	CDS
9074	NZ_CP010404	Staphylococcus	aureus		mosaic		2473.0	2.0
9075	NZ_LN831037	Staphylococcus	aureus		static		6578.0	8.0
9076	NZ_LN831038	Staphylococcus	aureus		mosaic		5141.0	7.0
9077	NZ_AP017321	Staphylococcus	aureus		mosaic		55980.0	62.0
9078	NZ_CP012017	Staphylococcus	aureus		mosaic		2895.0	3.0
9079	NZ_CP012016	Staphylococcus	aureus		mosaic		2903.0	4.0
9080	NZ_CP012014	Staphylococcus	aureus		static		2757.0	3.0
9081	NZ_CP007677	Staphylococcus	aureus		static		20185.0	25.0
9082	NZ_CP007678	Staphylococcus	aureus		static		20291.0	22.0
9083	NZ_CP007679	Staphylococcus	aureus		mosaic		33093.0	38.0
9084	NZ_AP014943	Staphylococcus	aureus		mosaic		27490.0	31.0
9085	NZ_CP007658	Staphylococcus	aureus		mosaic		43396.0	50.0
9086	NZ_CP007673	Staphylococcus	aureus		mosaic		25054.0	29.0
9087	NZ_CP013620	Staphylococcus	aureus		static		1442.0	2.0
9088	NZ_CP013617	Staphylococcus	aureus		mosaic		2362.0	2.0
9089	NZ_CP013618	Staphylococcus	aureus		static		3048.0	2.0
9090	NZ_CP014063	Staphylococcus	aureus		mosaic		37980.0	44.0
9091	NZ_CP012757	Staphylococcus	aureus		static		42747.0	51.0
9092	NZ_CP013227	Staphylococcus	aureus		static		22042.0	26.0
9093	NZ_CP013228	Staphylococcus	aureus		mosaic		45868.0	54.0
9094	NZ_CP013229	Staphylococcus	aureus		mosaic		46953.0	66.0
9095	NZ_CP013230	Staphylococcus	aureus		mosaic		26623.0	36.0
9096	NZ_CP012594	Staphylococcus	aureus		mosaic		55713.0	65.0
9097	NZ_CP012595	Staphylococcus	aureus		static		15957.0	30.0
9098	NZ_CP012596	Staphylococcus	aureus		mosaic		23351.0	29.0
9099	NZ_CP010891	Staphylococcus	aureus		mosaic		27273.0	31.0
9100	NZ_CP014074	Escherichia	coli		static		10266.0	17.0
9101	NZ_CP014075	Escherichia	coli		static		7723.0	6.0
9102	NZ_CP014076	Escherichia	coli		static		1276.0	3.0
9103	NZ_CP014077	Escherichia	coli		mosaic		41758.0	48.0
9104	NZ_CP014078	Escherichia	coli		static		8861.0	15.0
9105	NZ_CP014079	Escherichia	coli		mosaic		23045.0	24.0
9106	NZ_CP014080	Escherichia	coli		static		2875.0	4.0
9107	NZ_CP014081	Escherichia	coli		static		1182.0	1.0
9108	NZ_CP014082	Escherichia	coli		static		1317.0	2.0
9109	NZ_CP014083	Escherichia	coli		static		20590.0	38.0
9110	NZ_CP014084	Escherichia	coli		static		19509.0	26.0
9111	NZ_CP014085	Escherichia	coli		static		811.0	1.0
9112	NZ_CP014086	Escherichia	coli		static		46082.0	43.0
9113	NZ_CP014087	Escherichia	coli		static		1706.0	2.0
9114	NZ_CP014088	Escherichia	coli		static		4012.0	3.0
9115	NZ_CP014089	Escherichia	coli		static		10275.0	14.0
9116	NZ_CP014090	Escherichia	coli		mosaic		86750.0	104.0
9117	NZ_CP014091	Escherichia	coli		static		3051.0	3.0
9118	NZ_CP007150	Escherichia	coli		mosaic		114231.0	159.0
9119	NZ_CP013028	Escherichia	coli		mosaic		74656.0	85.0
9120	NZ_CP013030	Escherichia	coli		static		97704.0	128.0
9121	NZ_CP017618	Salmonella	enterica		mosaic		93055.0	124.0
9122	NZ_CP017619	Salmonella	enterica		static		2097.0	1.0
9123	NZ_LT009691	Staphylococcus	aureus		mosaic		25689.0	28.0
9124	NC_011651	Borrelia	afzelii		static		31017.0	42.0
9125	NC_011787	Borrelia	afzelii		static		28763.0	33.0
9126	NC_011789	Borrelia	afzelii		mosaic		26020.0	31.0
9127	NC_011649	Borrelia	afzelii		static		30810.0	41.0
9128	NC_011793	Borrelia	afzelii		mosaic		23261.0	20.0
9129	NC_011794	Borrelia	afzelii		static		33405.0	37.0
9130	NC_011647	Borrelia	afzelii		static		31475.0	43.0
9131	NC_011788	Borrelia	afzelii		static		32041.0	37.0
9132	NC_011790	Borrelia	afzelii		static		31266.0	41.0
9133	NC_011792	Borrelia	afzelii		static		33534.0	34.0
9134	NC_011786	Borrelia	afzelii		mosaic		60749.0	73.0
9135	NC_011648	Borrelia	afzelii		static		31157.0	43.0
9136	NC_011791	Borrelia	afzelii		mosaic		30270.0	27.0
9137	NC_011650	Borrelia	afzelii		static		26535.0	26.0
9138	NC_012193	Borrelia	burgdorferi		static		53686.0	65.0
9139	NC_011965	Borrelia	burgdorferi		static		30117.0	41.0
9140	NC_011968	Borrelia	burgdorferi		static		27704.0	39.0
9141	NC_011970	Borrelia	burgdorferi		static		30101.0	43.0
9142	NC_012186	Borrelia	burgdorferi		static		28128.0	32.0
9143	NC_011974	Borrelia	burgdorferi		static		26522.0	26.0
9144	NC_011975	Borrelia	burgdorferi		static		17016.0	24.0
9145	NC_012201	Borrelia	burgdorferi		static		27763.0	28.0
9146	NC_011966	Borrelia	burgdorferi		static		12870.0	22.0
9147	NC_011967	Borrelia	burgdorferi		static		30324.0	42.0
9148	NC_012172	Borrelia	burgdorferi		static		29630.0	31.0
9149	NC_011972	Borrelia	burgdorferi		static		30016.0	43.0
9150	NC_012191	Borrelia	burgdorferi		static		18115.0	18.0
9151	NC_011856	Borrelia	garinii		mosaic		32543.0	28.0
9152	NC_011857	Borrelia	garinii		static		36709.0	33.0
9153	NC_011848	Borrelia	garinii		static		29694.0	41.0
9154	NC_011860	Borrelia	garinii		static		40280.0	38.0
9155	NC_011840	Borrelia	garinii		static		27040.0	26.0
9156	NC_011842	Borrelia	garinii		static		34837.0	43.0
9157	NC_011858	Borrelia	garinii		static		17609.0	19.0
9158	NC_011859	Borrelia	garinii		static		56869.0	68.0
9159	NC_011861	Borrelia	garinii		static		20872.0	20.0
9160	NC_011854	Borrelia	garinii		mosaic		38262.0	41.0
9161	NC_011855	Borrelia	garinii		static		27006.0	31.0
9162	NC_011867	Borrelia	garinii		static		35446.0	29.0
9163	NC_011871	Borrelia	garinii		static		22433.0	21.0
9164	NC_011873	Borrelia	garinii		static		27689.0	28.0
9165	NC_011875	Borrelia	garinii		static		25791.0	21.0
9166	NC_011877	Borrelia	garinii		static		58069.0	68.0
9167	NC_011844	Borrelia	garinii		static		26994.0	26.0
9168	NC_011869	Borrelia	garinii		static		41906.0	59.0
9169	NZ_CP012977	Staphylococcus	aureus		mosaic		17307.0	20.0
9170	NZ_CP018954	Escherichia	coli		mosaic		97654.0	133.0
9171	NZ_CP018955	Escherichia	coli		mosaic		101186.0	129.0
9172	NZ_CP018956	Escherichia	coli		mosaic		216226.0	274.0
9173	NZ_CP018984	Escherichia	coli		static		2571.0	5.0
9174	NZ_CP018985	Escherichia	coli		mosaic		5631.0	11.0
9175	NZ_CP018986	Escherichia	coli		static		6075.0	8.0
9176	NZ_CP018987	Escherichia	coli		static		6994.0	12.0
9177	NZ_CP018988	Escherichia	coli		static		34532.0	52.0
9178	NZ_CP018989	Escherichia	coli		mosaic		85865.0	97.0
9179	NZ_CP018990	Escherichia	coli		mosaic		150994.0	205.0
9180	NZ_CP019009	Escherichia	coli		mosaic		130905.0	178.0
9181	NZ_CP019010	Escherichia	coli		mosaic		55746.0	63.0
9182	NZ_CP019011	Escherichia	coli		mosaic		74891.0	92.0
9183	NZ_CP017759	Cupriavidus	necator		static		426602.0	380.0
9184	NZ_CP017760	Cupriavidus	necator		mosaic		77172.0	80.0
9185	NZ_CP018940	Escherichia	coli		static		2883.0	5.0
9186	NZ_CP018941	Escherichia	coli		static		4062.0	4.0
9187	NZ_CP018942	Escherichia	coli		mosaic		4063.0	4.0
9188	NZ_CP018943	Escherichia	coli		static		6647.0	12.0
9189	NZ_CP018944	Escherichia	coli		mosaic		27133.0	30.0
9190	NZ_CP018945	Escherichia	coli		mosaic		55436.0	73.0
9191	NZ_CP018946	Escherichia	coli		mosaic		87114.0	116.0
9192	NZ_CP018947	Escherichia	coli		mosaic		143972.0	198.0
9193	NZ_CP018966	Escherichia	coli		static		4087.0	4.0
9194	NZ_CP018967	Escherichia	coli		mosaic		5167.0	5.0
9195	NZ_CP018968	Escherichia	coli		mosaic		44320.0	59.0
9196	NZ_CP018969	Escherichia	coli		mosaic		82364.0	118.0
9197	NZ_CP018971	Escherichia	coli		static		3164.0	3.0
9198	NZ_CP018972	Escherichia	coli		mosaic		4073.0	4.0
9199	NZ_CP018973	Escherichia	coli		mosaic		70152.0	100.0
9200	NZ_CP018974	Escherichia	coli		mosaic		70876.0	91.0
9201	NZ_CP018975	Escherichia	coli		mosaic		95926.0	122.0
9202	NZ_CP019001	Escherichia	coli		mosaic		272202.0	364.0
9203	NZ_CP019002	Escherichia	coli		mosaic		112917.0	123.0
9204	NZ_CP019003	Escherichia	coli		mosaic		12602.0	21.0
9205	NZ_CP019004	Escherichia	coli		static		1597.0	2.0
9206	NZ_CP018958	Escherichia	coli		mosaic		53198.0	76.0
9207	NZ_CP018959	Escherichia	coli		mosaic		51885.0	67.0
9208	NZ_CP018960	Escherichia	coli		mosaic		73206.0	105.0
9209	NZ_CP018961	Escherichia	coli		mosaic		289903.0	336.0
9210	NZ_CP019021	Escherichia	coli		mosaic		1459.0	2.0
9211	NZ_CP019022	Escherichia	coli		static		3087.0	3.0
9212	NZ_CP019023	Escherichia	coli		static		3256.0	7.0
9213	NZ_CP019024	Escherichia	coli		mosaic		4063.0	4.0
9214	NZ_CP019025	Escherichia	coli		mosaic		6647.0	12.0
9215	NZ_CP019026	Escherichia	coli		mosaic		59373.0	77.0
9216	NZ_CP019027	Escherichia	coli		static		109344.0	131.0
9217	NZ_CP019028	Escherichia	coli		mosaic		147346.0	199.0
9218	NZ_CP019577	Clostridium	perfringens		static		82596.0	74.0
9219	NZ_CP019578	Clostridium	perfringens		mosaic		69827.0	76.0
9220	NZ_CP019579	Clostridium	perfringens		static		49582.0	66.0
9221	NZ_CP019580	Clostridium	perfringens		mosaic		49728.0	49.0
9222	NZ_CP018949	Escherichia	coli		mosaic		16559.0	20.0
9223	NZ_CP018950	Escherichia	coli		static		35225.0	56.0
9224	NZ_CP018951	Escherichia	coli		mosaic		43380.0	60.0
9225	NZ_CP018952	Escherichia	coli		mosaic		132345.0	179.0
9226	NZ_CP018977	Escherichia	coli		mosaic		58431.0	76.0
9227	NZ_CP018978	Escherichia	coli		mosaic		117844.0	152.0
9228	NZ_CP018980	Escherichia	coli		static		4074.0	4.0
9229	NZ_CP018981	Escherichia	coli		mosaic		14029.0	13.0
9230	NZ_CP018982	Escherichia	coli		mosaic		100168.0	138.0
9231	NZ_CP018996	Escherichia	coli		mosaic		4073.0	4.0
9232	NZ_CP018997	Escherichia	coli		mosaic		4921.0	5.0
9233	NZ_CP018998	Escherichia	coli		mosaic		99006.0	141.0
9234	NZ_CP018999	Escherichia	coli		mosaic		146162.0	218.0
9235	NZ_CP017939	Acinetobacter	pittii		static		28641.0	37.0
9236	NZ_CP019912	blood	disease		static		1486041.0	1345.0
9237	NZ_CP018963	Escherichia	coli		mosaic		54644.0	66.0
9238	NZ_CP018964	Escherichia	coli		mosaic		118495.0	167.0
9239	NZ_CP018992	Escherichia	coli		mosaic		110226.0	135.0
9240	NZ_CP018993	Escherichia	coli		mosaic		116562.0	153.0
9241	NZ_CP018994	Escherichia	coli		mosaic		154853.0	203.0
9242	NZ_CP019006	Escherichia	coli		mosaic		47531.0	64.0
9243	NZ_CP019007	Escherichia	coli		mosaic		128248.0	172.0
9244	NZ_CP019568	Clostridium	perfringens		static		3202.0	3.0
9245	NZ_CP019569	Clostridium	perfringens		static		14755.0	16.0
9246	NZ_CP019570	Clostridium	perfringens		static		3843.0	4.0
9247	NZ_CP019571	Clostridium	perfringens		static		2421.0	3.0
9248	NZ_CP019013	Escherichia	coli		static		109057.0	131.0
9249	NZ_CP019014	Escherichia	coli		mosaic		142829.0	185.0
9250	NZ_CP019016	Escherichia	coli		static		37756.0	56.0
9251	NZ_CP019017	Escherichia	coli		mosaic		73464.0	86.0
9252	NZ_CP019018	Escherichia	coli		mosaic		158911.0	200.0
9253	NZ_CP019019	Escherichia	coli		mosaic		199671.0	215.0
9254	NZ_CP012975	Staphylococcus	aureus		mosaic		17307.0	20.0
9255	NZ_CP013954	Staphylococcus	aureus		mosaic		24729.0	32.0
9256	NZ_CP013956	Staphylococcus	aureus		mosaic		24657.0	32.0
9257	NZ_CP013958	Staphylococcus	aureus		mosaic		28723.0	38.0
9258	NZ_CP012973	Staphylococcus	aureus		mosaic		20633.0	26.0
9259	NZ_CP012971	Staphylococcus	aureus		mosaic		20633.0	26.0
9260	NZ_CP012980	Staphylococcus	aureus		mosaic		20720.0	26.0
9261	NZ_CP015174	Staphylococcus	aureus		static		4264.0	6.0
9262	NZ_CP015175	Staphylococcus	aureus		static		3085.0	3.0
9263	NZ_CP014972	Salmonella	enterica		mosaic		95780.0	122.0
9264	NZ_CP014973	Salmonella	enterica		mosaic		93960.0	123.0
9265	NZ_CP014974	Salmonella	enterica		static		35954.0	45.0
9266	NZ_CP014694	Staphylococcus	aureus		mosaic		2361.0	2.0
9267	NZ_CP014695	Staphylococcus	aureus		mosaic		7190.0	8.0
9268	NZ_CP018769	Staphylococcus	aureus		static		27270.0	31.0
9269	NZ_CP019564	Staphylococcus	aureus		mosaic		20658.0	25.0
9270	NZ_CP019565	Staphylococcus	aureus		mosaic		2473.0	2.0
9271	NZ_CP019566	Staphylococcus	aureus		static		2622.0	3.0
9272	NZ_CP019567	Staphylococcus	aureus		static		4817.0	4.0
9273	NZ_CP018767	Staphylococcus	aureus		mosaic		26856.0	33.0
9274	NZ_LT671860	Staphylococcus	aureus		mosaic		27437.0	29.0
9275	NZ_CP014403	Staphylococcus	aureus		mosaic		3125.0	4.0
9276	NZ_CP014404	Staphylococcus	aureus		mosaic		25980.0	29.0
9277	NZ_CP014405	Staphylococcus	aureus		mosaic		2473.0	2.0
9278	NZ_CP014406	Staphylococcus	aureus		mosaic		4397.0	6.0
9279	NZ_CP014408	Staphylococcus	aureus		mosaic		27098.0	33.0
9280	NZ_CP014410	Staphylococcus	aureus		mosaic		3125.0	4.0
9281	NZ_CP014411	Staphylococcus	aureus		mosaic		27068.0	32.0
9282	NZ_CP014421	Staphylococcus	aureus		mosaic		3125.0	4.0
9283	NZ_CP014422	Staphylococcus	aureus		mosaic		27068.0	32.0
9284	NZ_CP014398	Staphylococcus	aureus		mosaic		3125.0	4.0
9285	NZ_CP014399	Staphylococcus	aureus		mosaic		25980.0	29.0
9286	NZ_CP014400	Staphylococcus	aureus		mosaic		2473.0	2.0
9287	NZ_CP014401	Staphylococcus	aureus		mosaic		4397.0	6.0
9288	NZ_CP014424	Staphylococcus	aureus		mosaic		3125.0	4.0
9289	NZ_CP014425	Staphylococcus	aureus		mosaic		27068.0	32.0
9290	NZ_CP014393	Staphylococcus	aureus		mosaic		3125.0	4.0
9291	NZ_CP014394	Staphylococcus	aureus		mosaic		25980.0	29.0
9292	NZ_CP014395	Staphylococcus	aureus		mosaic		2473.0	2.0
9293	NZ_CP014396	Staphylococcus	aureus		mosaic		4397.0	6.0
9294	NZ_CP014413	Staphylococcus	aureus		mosaic		3125.0	4.0
9295	NZ_CP014414	Staphylococcus	aureus		mosaic		27068.0	32.0
9296	NZ_CP014430	Staphylococcus	aureus		mosaic		3125.0	4.0
9297	NZ_CP014431	Staphylococcus	aureus		mosaic		27068.0	32.0
9298	NZ_CP014445	Staphylococcus	aureus		mosaic		27098.0	33.0
9299	NZ_CP014446	Staphylococcus	aureus		mosaic		2415.0	2.0
9300	NZ_CP014447	Staphylococcus	aureus		static		3567.0	3.0
9301	NZ_CP014448	Staphylococcus	aureus		static		32098.0	39.0
9302	NZ_CP014416	Staphylococcus	aureus		mosaic		27098.0	33.0
9303	NZ_CP014417	Staphylococcus	aureus		mosaic		2415.0	2.0
9304	NZ_CP014418	Staphylococcus	aureus		static		3567.0	3.0
9305	NZ_CP014419	Staphylococcus	aureus		static		32098.0	39.0
9306	NZ_CP014439	Staphylococcus	aureus		mosaic		3125.0	4.0
9307	NZ_CP014440	Staphylococcus	aureus		mosaic		27079.0	32.0
9308	NZ_CP014442	Staphylococcus	aureus		mosaic		3125.0	4.0
9309	NZ_CP014443	Staphylococcus	aureus		mosaic		27079.0	32.0
9310	NZ_CP014436	Staphylococcus	aureus		mosaic		3125.0	4.0
9311	NZ_CP014437	Staphylococcus	aureus		mosaic		27068.0	32.0
9312	NC_002106	Gracilaria	chilensis		static		7220.0	16.0
9313	NC_002107	Gracilaria	chilensis		static		3937.0	5.0
9314	NC_001470	Gracilariopsis	lemaneiformis		static		4293.0	5.0
9315	NC_001400	Zea	mays		static		1913.0	3.0
9316	NC_002055	Zygosaccharomyces	bailii		static		5415.0	3.0
9317	NC_002054	Lachancea	fermentati		static		5416.0	4.0
9318	NC_001570	Neurospora	crassa		static		3581.0	3.0
9319	NC_001571	Neurospora	intermedia		static		3675.0	1.0
9320	NC_000843	Neurospora	intermedia		static		7050.0	2.0
9321	NC_002135	Pleurotus	ostreatus		static		9879.0	3.0
9322	NC_001888	Dictyostelium	giganteum		static		4481.0	1.0
9323	NC_002104	Gracilaria	robusta		static		4059.0	2.0
9324	NC_002105	Gracilaria	robusta		static		4970.0	7.0
9325	NC_001889	Dictyostelium	discoideum		static		14955.0	6.0
9326	NC_001832	Pyropia	pulchra		static		6427.0	5.0
9327	NC_001833	Pyropia	pulchra		static		6859.0	7.0
9328	NC_001923	Dictyostelium	firmibasis		static		5015.0	1.0
9329	NC_010190	Zygosaccharomyces	bisporus		static		6615.0	3.0
9330	NC_010188	Lachancea	waltii		static		5619.0	4.0
9331	NC_010425	Fusarium	proliferatum		static		10336.0	2.0
9332	NC_011028	Physarum	polycephalum		static		14503.0	10.0
9333	NC_011084	Vicia	faba		static		1478.0	0.0
9334	NC_012412	Neurospora	intermedia		static		3614.0	1.0
9335	NC_012415	Neurospora	intermedia		static		3774.0	1.0
9336	NC_013781	Polysphondylium	pallidum		static		27653.0	11.0
9337	NC_004946	Brassica	napus		static		11640.0	6.0
9338	NC_004970	Neurospora	intermedia		static		4080.0	0.0
9339	NC_004948	Trichoderma	harzianum		static		2619.0	1.0
9340	NC_004935	Blumeria	graminis		static		7965.0	2.0
9341	NC_004975	Fusarium	oxysporum		static		1836.0	1.0
9342	NC_004976	Fusarium	oxysporum		static		1905.0	1.0
9343	NC_004983	Thanatephorus	cucumeris		static		2877.0	0.0
9344	NC_015333	Moniliophthora	roreri		static		9745.0	4.0
9345	NC_015335	Moniliophthora	roreri		static		10090.0	4.0
9346	NC_015334	Moniliophthora	roreri		static		11500.0	5.0
9347	NC_001751	Oryza	sativa		static		2135.0	2.0
9348	NC_001776	Oryza	sativa		static		1485.0	0.0
9349	NC_002364	Cryphonectria	parasitica		static		1364.0	1.0
9350	NC_004972	Agrobacterium	fabrum		static		8288.0	5.0
9351	Missing			SAMN02261342				
9352	Missing			SAMN02232024				
9353	Missing			SAMN02261334				
9354	Missing			SAMN02232067				
9355	Missing			SAMN02261336				
9356	Missing			SAMN00002562				
9357	Missing			SAMN00713566				
9358	Missing			SAMN02261335				
9359	Missing			SAMN02261358				
9360	Missing			SAMN02261352				
9361	Missing			SAMN02232027				
9362	Missing			SAMN02261352				
9363	Missing			SAMN00713566				
9364	Missing			SAMN02232027				
9365	Missing			SAMN02232067				
9366	Missing			SAMN02261349				
9367	Missing			SAMN02261387				
9368	Missing			SAMN02232020				
9369	Missing			SAMN02232024				
9370	Missing			SAMN00713566				
9371	Missing			SAMN02261356				
9372	Missing			SAMN02261335				
9373	Missing			SAMN02261335				
9374	Missing			SAMN02232020				
9375	Missing			SAMN00713566				
9376	Missing			SAMN02261335				
9377	Missing			SAMN00713606				
9378	Missing			SAMN02261378				
9379	Missing			SAMN02261349				
9380	Missing			SAMN02261373				
9381	Missing			SAMN02261334				
9382	Missing			SAMN02261352				
9383	Missing			SAMN02261342				
9384	Missing			SAMN02261345				
9385	Missing			SAMN02261335				
9386	Missing			SAMN00015356				
9387	Missing			SAMN02261352				
9388	Missing			SAMN02261342				
9389	Missing			SAMN02261349				
9390	Missing			SAMN02261349				
9391	Missing			SAMN02261349				
9392	Missing			SAMN02261345				
9393	Missing			SAMN02261356				
9394	Missing			SAMN02261349				
9395	Missing			SAMN02261410				
9396	Missing			SAMN02261337				
9397	Missing			SAMN02261352				
9398	Missing			SAMN02232065				
9399	Missing			SAMN02261349				
9400	Missing			SAMN02261349				
9401	Missing			SAMN00138949				
9402	Missing			SAMN00025417				
9403	Missing			SAMN02261358				
9404	Missing			SAMN02261358				
9405	Missing			SAMN02261373				
9406	Missing			SAMN00015356				
9407	Fresh water			SAMN02261333				
9408	Fresh water			SAMN02261347				
9409	Fresh water			SAMN00002561				
9410	Fresh water			SAMN00000663				
9411	Fresh water			SAMN00000663				
9412	Fresh water			SAMN02261327				
9413	Fresh water			SAMN02261333				
9414	Fresh water			SAMN02232019				
9415	Fresh water			SAMN02261327				
9416	Fresh water			SAMN02261327				
9417	Fresh water			SAMN00002561				
9418	Fresh water			SAMN02261329				
9419	Fresh water			SAMN02232019				
9420	Fresh water			SAMN00000663				
9421	Fresh water			SAMN02232019				
9422	Fresh water			SAMN02261347				
9423	Fresh water			SAMN00000663				
9424	Fresh water			SAMN02232019				
9425	Fresh water			SAMN00000663				
9426	Fresh water			SAMN02232019				
9427	Fresh water			SAMN00000663				
9428	Fresh water			SAMN02261347				
9429	Fresh water			SAMN02261347				
9430	Host, Intestinal microflora			SAMN00713605				
9431	Host, Intestinal microflora			SAMN00713605				
9432	Host, Intestinal microflora			SAMN00713605				
9433	Sea water			SAMN00713610				
9434	Host			SAMN00016988				
9435	Host			SAMN00002769				
9436	Host			SAMN00713589				
9437	Host			SAMN00713589				
9438	Host			SAMN00002769				
9439	Host			SAMN02261385				
9440	Host			SAMN00713589				
9441	Host			SAMN00016988				
9442	Host			SAMN00016988				
9443	Host			SAMN00002769				
9444	Host			SAMN02261384				
9445	Host			SAMN00002769				
9446	Host			SAMN00713601				
9447	Host			SAMN00002769				
9448	Host			SAMN02261384				
9449	Host			SAMN00102793				
9450	Host			SAMN00016988				
9451	Host			SAMN02261384				
9452	Host			SAMN02261385				
9453	Host			SAMN02261385				
9454	Marine			SAMN00713637				
9455	Marine			SAMN02261408				
9456	Marine			SAMN02261408				
9457	Marine			SAMN00016994				
9458	Marine			SAMN02598531				
9459	Marine			SAMN00713637				
9460	Marine			SAMN02232049				
9461	Marine			SAMN00116458				
9462	Marine			SAMN00713637				
9463	Marine			SAMN02598531				
9464	Marine			SAMN00116458				
9465	Marine			SAMN02232049				
9466	Marine			SAMN00016780				
9467	Marine			SAMN00016994				
9468	Host, Plant symbiont, Soil			SAMN00713636				
9469	Host, Plant symbiont, Soil			SAMN00713636				
9470	Soil			SAMN00016986				
9471	Soil			SAMN00002570				
9472	Soil			SAMN02261351				
9473	Soil			SAMN02261351				
9474	Soil			SAMN00191232				
9475	Soil			SAMN02261351				
9476	Soil			SAMN02261392				
9477	Soil			SAMN00016729				
9478	Soil			SAMN02261351				
9479	Soil			SAMN00016729				
9480	Soil			SAMN02261351				
9481	Soil			SAMN00191232				
9482	Soil			SAMN00710681				
9483	Soil			SAMN00016729				
9484	Soil			SAMN02261359				
9485	Soil			SAMN00002570				
9486	Soil			SAMN00016986				
9487	Soil			SAMN02261351				
9488	Soil			SAMN02261351				
9489	Soil			SAMN00016729				
9490	Soil			SAMN02261351				
9491	Soil			SAMN02261359				
9492	Soil			SAMN00710681				
9493	Soil			SAMN02261392				
9494	Soil			SAMN00016829				
9495	water fern Azolla commonly known as duckweed			SAMN02598476				
9496	water fern Azolla commonly known as duckweed			SAMN02598476				
9497	Soil Litter Close to Oxalis sp.			SAMN03085480				
9498	Soil Litter Close to Oxalis sp.			SAMN03085480				
9499	Soil Litter Close to Oxalis sp.			SAMN03085480				
9500	Soil Litter Close to Oxalis sp.			SAMN03085480				
9501	Host, Human oral microflora			SAMN02232045				
9502	Host, Human oral microflora			SAMN02232045				
9503	Soda lake sediment			SAMN02598475				
9504	Oil fields, Fresh water			SAMN02232060				
9505	Deep sea, Hydrothermal vent, Marine			SAMN02261422				
9506	Deep sea, Hydrothermal vent, Marine			SAMN00138957				
9507	Sludge, Fresh water			SAMN00713596				
9508	Sludge, Fresh water			SAMN00713596				
9509	Sludge, Fresh water			SAMN00713596				
9510	Sludge, Fresh water			SAMN00713596				
9511	Sludge, Fresh water			SAMN00713596				
9512	Host, Rice roots, Soil			SAMN02232046				
9513	Host, Rice roots, Soil			SAMN02232046				
9514	Host, Rice roots, Soil			SAMN02232046				
9515	Marsh, Mat			SAMN02232063				
9516	biological product [ENVO:02000043]			SAMN02463711				
9517	biological product [ENVO:02000043]			SAMN02463807				
9518	biological product [ENVO:02000043]			SAMN00001494				
9519	biological product [ENVO:02000043]			SAMN02463682				
9520	biological product [ENVO:02000043]			SAMN02463682				
9521	biological product [ENVO:02000043]			SAMN02463816				
9522	biological product [ENVO:02000043]			SAMN00001494				
9523	biological product [ENVO:02000043]			SAMN00001491				
9524	biological product [ENVO:02000043]			SAMN00001494				
9525	biological product [ENVO:02000043]			SAMN00001494				
9526	Human intestinal microflora, Host			SAMN00016779				
9527	Human intestinal microflora, Host			SAMN00016779				
9528	Host, Plant root, Root nodule, Soil			SAMN00017059				
9529	Host, Plant root, Root nodule, Soil			SAMN00017059				
9530	Host, Plant root, Root nodule, Soil			SAMN00017103				
9531	Host, Plant root, Root nodule, Soil			SAMN00017103				
9532	Hot spring, Marine			SAMN02261379				
9533	Hot spring, Marine			SAMN02261379				
9534	Sludge			SAMN02232013				
9535	Sludge			SAMN00713614				
9536	Sludge			SAMN00713614				
9537	Sludge			SAMN00713614				
9538	Food			SAMN02232066				
9539	Food			SAMN02232066				
9540	Food			SAMN02232066				
9541	Food			SAMN02232066				
9542	Food			SAMN02232066				
9543	Food			SAMN02232066				
9544	Deep-sea hydrothermal chimney sample collected on the East Pacific Rise at a depth of 2600m			SAMN02598490				
9545	Deep-sea hydrothermal chimney sample collected on the East Pacific Rise at a depth of 2600m			SAMN02598493				
9546	Deep-sea hydrothermal chimney sample collected on the East Pacific Rise at a depth of 2600m			SAMN02598493				
9547	Acid mine, Fresh water, Mud, Sea water, Soil			SAMN02232014				
9548	Acid mine, Fresh water, Mud, Sea water, Soil			SAMN02232014				
9549	Fresh water, Host			SAMN02232050				
9550	Fresh water, Host			SAMN02232050				
9551	Fresh water, Host			SAMN02232050				
9552	Fresh water, Host			SAMN02232050				
9553	Fresh water, Host			SAMN02232050				
9554	Creosote-contaminated soil, Soil			SAMN02261374				
9555	Creosote-contaminated soil, Soil			SAMN00713568				
9556	Creosote-contaminated soil, Soil			SAMN00713568				
9557	Creosote-contaminated soil, Soil			SAMN02261374				
9558	Ponds			SAMN02232008				
9559	Ponds			SAMN02232008				
9560	Ponds			SAMN02232008				
9561	Ponds			SAMN02232008				
9562	Ponds			SAMN02232008				
9563	Ponds			SAMN02232008				
9564	Fresh water, Human intestinal microflora			SAMN00713582				
9565	Fresh water, Human intestinal microflora			SAMN00713582				
9566	marine water			SAMN02261085				
9567	marine water			SAMN00713638				
9568	marine water			SAMN00713638				
9569	Lake Magadi in Kenya			SAMN02598473				
9570	Lake Magadi in Kenya			SAMN02598473				
9571	Lake Magadi in Kenya			SAMN02598473				
9572	Fresh water, Aquatic			SAMN02261263				
9573	Fresh water, Aquatic			SAMN02261263				
9574	missing			SAMD00012854				
9575	missing			SAMD00012854				
9576	missing			SAMN00103091				
9577	Deep-sea hydrothermal vent from Pacific Ocean Axial volcano on the Juan de Fuca Ridge			SAMN02598520				
9578	enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor			SAMN02598465				
